ts,book,equity
2026-09-11T19:25:48.968632+00:00,guarded,10000.0
2026-09-11T19:25:48.970011+00:00,shadow,10000.0
2026-09-11T19:44:24.891940+00:00,guarded,10000.0
2026-09-11T19:44:24.893277+00:00,shadow,10000.0
2026-09-11T20:27:57.592541+00:00,guarded,10000.0
2026-09-11T20:27:57.593962+00:00,shadow,10000.0
2026-09-11T21:48:53.772450+00:00,guarded,10000.0
2026-09-11T21:48:53.773652+00:00,shadow,10000.0
2026-09-11T23:43:27.340708+00:00,guarded,10000.0
2026-09-11T23:43:27.342171+00:00,shadow,10000.0
2026-09-12T01:34:44.191661+00:00,guarded,10000.0
2026-09-12T01:34:44.193647+00:00,shadow,10000.0
2026-09-12T06:31:05.377727+00:00,guarded,10000.0
2026-09-12T06:31:05.379798+00:00,shadow,10000.0
2026-09-12T08:25:00.382561+00:00,guarded,10000.0
2026-09-12T08:25:00.384970+00:00,shadow,10000.0
2026-09-12T08:37:23.132149+00:00,guarded,10000.0
2026-09-12T08:37:23.133686+00:00,shadow,10000.0
2026-09-12T09:00:46.512725+00:00,guarded,10000.0
2026-09-12T09:00:46.514529+00:00,shadow,10000.0
2026-09-12T09:10:40.299002+00:00,guarded,10000.0
2026-09-12T09:10:40.301132+00:00,shadow,10000.0
2026-09-12T09:15:43.844877+00:00,guarded,10000.0
2026-09-12T09:15:43.846835+00:00,shadow,10000.0
2026-09-12T09:24:39.604297+00:00,guarded,10000.0
2026-09-12T09:24:39.693132+00:00,shadow,10000.0
2026-09-12T09:30:37.037861+00:00,guarded,10000.0
2026-09-12T09:30:37.038907+00:00,shadow,10000.0
2026-09-12T09:31:33.390658+00:00,guarded,10000.0
2026-09-12T09:31:33.391893+00:00,shadow,10000.0
2026-09-12T09:34:15.883226+00:00,guarded,10000.0
2026-09-12T09:34:15.884668+00:00,shadow,10000.0
2026-09-12T09:45:42.990362+00:00,guarded,10000.0
2026-09-12T09:45:42.992003+00:00,shadow,10000.0
2026-09-12T10:00:45.199512+00:00,guarded,10000.0
2026-09-12T10:00:45.201219+00:00,shadow,10000.0
2026-09-12T10:14:26.132704+00:00,guarded,10000.0
2026-09-12T10:14:26.180928+00:00,shadow,10000.0
2026-09-12T10:15:41.200279+00:00,guarded,10000.0
2026-09-12T10:15:41.201899+00:00,shadow,10000.0
2026-09-12T10:30:42.265979+00:00,guarded,10000.0
2026-09-12T10:30:42.267227+00:00,shadow,10000.0
2026-09-12T10:45:38.502343+00:00,guarded,10000.0
2026-09-12T10:45:38.505345+00:00,shadow,10000.0
2026-09-12T10:46:15.243864+00:00,guarded,10000.0
2026-09-12T10:46:15.245561+00:00,shadow,10000.0
2026-09-12T11:00:40.326207+00:00,guarded,10000.0
2026-09-12T11:00:40.328983+00:00,shadow,10000.0
2026-09-12T11:16:14.139458+00:00,guarded,10000.0
2026-09-12T11:16:14.140882+00:00,shadow,10000.0
2026-09-12T11:30:41.503845+00:00,guarded,10000.0
2026-09-12T11:30:41.505154+00:00,shadow,10000.0
2026-09-12T11:45:48.224835+00:00,guarded,9988.30792172362
2026-09-12T11:45:48.225988+00:00,shadow,9988.307908207
2026-09-12T12:00:37.515589+00:00,guarded,9988.30792172362
2026-09-12T12:00:37.516692+00:00,shadow,9988.307908207
2026-09-12T12:15:37.290613+00:00,guarded,9988.30792172362
2026-09-12T12:15:37.292091+00:00,shadow,9988.307908207
2026-09-12T12:30:49.039909+00:00,guarded,9988.30792172362
2026-09-12T12:30:49.081865+00:00,shadow,9988.307908207
2026-09-12T12:45:38.433458+00:00,guarded,9988.30792172362
2026-09-12T12:45:38.434799+00:00,shadow,9988.307908207
2026-09-12T12:49:06.916920+00:00,guarded,9988.30792172362
2026-09-12T12:49:06.918934+00:00,shadow,9988.307908207
2026-09-12T13:00:40.387508+00:00,guarded,9988.30792172362
2026-09-12T13:00:40.388614+00:00,shadow,9988.307908207
2026-09-12T13:15:41.012636+00:00,guarded,9988.30792172362
2026-09-12T13:15:41.013567+00:00,shadow,9988.307908207
2026-09-12T13:30:41.272627+00:00,guarded,9988.30792172362
2026-09-12T13:30:41.273928+00:00,shadow,9988.307908207
2026-09-12T13:45:39.791203+00:00,guarded,9988.30792172362
2026-09-12T13:45:39.792280+00:00,shadow,9988.307908207
2026-09-12T14:00:41.350922+00:00,guarded,9988.30792172362
2026-09-12T14:00:41.364547+00:00,shadow,9988.307908207
2026-09-12T14:15:37.749000+00:00,guarded,9988.30792172362
2026-09-12T14:15:37.750167+00:00,shadow,9988.307908207
2026-09-12T14:30:39.328084+00:00,guarded,9988.30792172362
2026-09-12T14:30:39.331734+00:00,shadow,9988.307908207
2026-09-12T14:45:55.294992+00:00,guarded,9988.30792172362
2026-09-12T14:45:55.296157+00:00,shadow,9985.12721857727
2026-09-12T15:00:42.433007+00:00,guarded,9988.30792172362
2026-09-12T15:00:42.434511+00:00,shadow,9985.12721857727
2026-09-12T15:15:38.066090+00:00,guarded,9988.30792172362
2026-09-12T15:15:38.067515+00:00,shadow,9985.12721857727
2026-09-12T15:31:15.273765+00:00,guarded,9988.30792172362
2026-09-12T15:31:15.275003+00:00,shadow,9985.12721857727
2026-09-12T15:45:43.584272+00:00,guarded,9988.30792172362
2026-09-12T15:45:43.585774+00:00,shadow,9985.12721857727
2026-09-12T16:00:45.178402+00:00,guarded,9988.30792172362
2026-09-12T16:00:45.180763+00:00,shadow,9985.12721857727
2026-09-12T16:12:50.451721+00:00,guarded,9988.30792172362
2026-09-12T16:12:50.452998+00:00,shadow,9985.12721857727
2026-09-12T16:15:39.522663+00:00,guarded,9988.30792172362
2026-09-12T16:15:39.523994+00:00,shadow,9985.12721857727
2026-09-12T16:31:50.232285+00:00,guarded,9988.30792172362
2026-09-12T16:31:50.233545+00:00,shadow,9985.12721857727
2026-09-12T16:45:40.147691+00:00,guarded,9988.30792172362
2026-09-12T16:45:40.149028+00:00,shadow,9985.12721857727
2026-09-12T17:00:37.575145+00:00,guarded,9988.30792172362
2026-09-12T17:00:37.576252+00:00,shadow,9985.12721857727
2026-09-12T17:15:39.332729+00:00,guarded,9988.30792172362
2026-09-12T17:15:39.333996+00:00,shadow,9985.12721857727
2026-09-12T17:30:40.451520+00:00,guarded,9988.30792172362
2026-09-12T17:30:40.452734+00:00,shadow,9985.12721857727
2026-09-12T17:45:38.133747+00:00,guarded,9988.30792172362
2026-09-12T17:45:38.134656+00:00,shadow,9985.12721857727
2026-09-12T18:00:48.056930+00:00,guarded,9988.30792172362
2026-09-12T18:00:48.058035+00:00,shadow,9985.12721857727
2026-09-12T18:15:39.926454+00:00,guarded,9988.30792172362
2026-09-12T18:15:39.927650+00:00,shadow,9985.12721857727
2026-09-12T18:30:43.035595+00:00,guarded,9988.30792172362
2026-09-12T18:30:43.036943+00:00,shadow,9985.12721857727
2026-09-12T18:45:37.409527+00:00,guarded,9988.30792172362
2026-09-12T18:45:37.410567+00:00,shadow,9985.12721857727
2026-09-12T19:00:52.754280+00:00,guarded,9988.30792172362
2026-09-12T19:00:52.755989+00:00,shadow,9985.12721857727
2026-09-12T19:11:40.323618+00:00,guarded,9988.30792172362
2026-09-12T19:11:40.325050+00:00,shadow,9985.12721857727
2026-09-12T19:15:39.253109+00:00,guarded,9988.30792172362
2026-09-12T19:15:39.258065+00:00,shadow,9985.12721857727
2026-09-12T19:30:42.121277+00:00,guarded,9988.30792172362
2026-09-12T19:30:42.122359+00:00,shadow,9985.12721857727
2026-09-12T19:45:45.169295+00:00,guarded,9988.30792172362
2026-09-12T19:45:45.170459+00:00,shadow,9874.204964298639
2026-09-12T20:00:41.130905+00:00,guarded,9988.30792172362
2026-09-12T20:00:41.132186+00:00,shadow,9874.204964298639
2026-09-12T20:15:40.268393+00:00,guarded,9988.30792172362
2026-09-12T20:15:40.274790+00:00,shadow,9874.204964298639
